Activity type	Date and time of invite (UTC)	Expiration time (UTC)
WEEKLY_CHALLENGE_PARTY	2026-05-26T01:13:48.237Z	2026-05-27T01:13:48.201Z
WEEKLY_CHALLENGE_PARTY	2026-06-02T02:02:30.550Z	2026-06-03T02:02:30.513Z
WEEKLY_CHALLENGE_PARTY	2026-06-02T02:38:07.331Z	2026-06-03T02:38:07.295Z
WEEKLY_CHALLENGE_PARTY	2026-06-09T02:55:16.298Z	2026-06-10T02:55:16.255Z
WEEKLY_CHALLENGE_PARTY	2026-06-09T07:49:38.502Z	2026-06-10T07:49:38.467Z
WEEKLY_CHALLENGE_PARTY	2026-06-09T11:38:05.721Z	2026-06-10T11:38:05.683Z
WEEKLY_CHALLENGE_PARTY	2026-06-09T11:47:03.482Z	2026-06-10T11:47:03.439Z
WEEKLY_CHALLENGE_PARTY	2026-06-09T13:30:00.255Z	2026-06-10T13:30:00.217Z
WEEKLY_CHALLENGE_PARTY	2026-06-09T16:06:19.801Z	2026-06-10T16:06:19.759Z
WEEKLY_CHALLENGE_PARTY	2026-06-09T18:15:39.197Z	2026-06-10T18:15:39.150Z
WEEKLY_CHALLENGE_PARTY	2026-06-09T22:07:38.365Z	2026-06-10T22:07:38.325Z
