User's Clubs
Name,URL
Rivertown Raiders,https://niantic-social-api.example/clubs/c778c0e5-fbba-46d5-9390-b1b7a038685b
Lakeside Trainers,https://niantic-social-api.example/clubs/b606b7ba-691a-4081-ab71-7756eea1fa0e
Brightport GO Club,https://niantic-social-api.example/clubs/17d9d24e-3b9f-4ad7-a2e3-1732ad666fcb
Maplefield Night Raids,https://niantic-social-api.example/clubs/4d56dcee-2f0d-424b-96e9-594f1070115d
Stonehaven Community Day Crew,https://niantic-social-api.example/clubs/4ea60935-2767-4226-a6ed-a6d7eb5de86d


User's Created Channels
Name,URL
#raid-alerts,https://niantic-social-api.example/channels/6eb62016-163e-43e8-ad86-71ec77a16aa2
#trading-outpost,https://niantic-social-api.example/channels/9a6ffad3-55f2-438c-bda8-59a2a233e76a
#meetup-planning,https://niantic-social-api.example/channels/1c0756f4-f124-4b1c-8e95-6e984c4ec46f


User's Sent Messages
Chatv2 Message Id,Sent At,Message
1013251739435363560,2024-01-01 22:23:15.446 +0000 UTC,In fled are bring remotes code is a up great spot!
1009968090248294176,2024-01-02 16:08:38.189 +0000 UTC,Need are the heading nice thanks nice remotes 👍
954004218373447656,2024-01-02 19:55:19.690 +0000 UTC,Wow the are you turnout is.
1038563759822864080,2024-01-04 18:08:33.487 +0000 UTC,Catch weather the!
970186632359400392,2024-01-05 15:01:06.055 +0000 UTC,Behind on you check at parking.
1006469817443285136,2024-01-05 19:25:46.615 +0000 UTC,Lobby everyone fled at is thanks check tonight boost need 👍
1006935736846644432,2024-01-05 22:12:50.832 +0000 UTC,Your the the your.
990708635121118280,2024-01-05 22:49:20.106 +0000 UTC,Is the code trades remotes the a 👍
986080467959400264,2024-01-06 21:00:17.110 +0000 UTC,Pinned there up thanks library there the the 🔥
989282745106611400,2024-01-07 10:18:41.065 +0000 UTC,Library heading everyone a boost max is we your 👍
1034353222243953504,2024-01-07 21:32:20.153 +0000 UTC,There on partner boost gg is wow need behind a the shiny.
1038650365544017408,2024-01-11 17:20:07.474 +0000 UTC,Now catch partner the post a that 🔥
1032175175170414144,2024-01-11 17:27:48.427 +0000 UTC,Is in the in remotes is
1014949427999090400,2024-01-12 11:23:24.215 +0000 UTC,Nice raid code for at now the in
1014716138406656680,2024-01-12 11:32:43.982 +0000 UTC,Five is the 🔥
1000136540192179384,2024-01-12 18:40:22.303 +0000 UTC,Who weather nice 🔥
1008924373905174432,2024-01-12 20:35:23.643 +0000 UTC,Nice we max boost who!
1010301814381964504,2024-01-13 12:08:10.610 +0000 UTC,See shiny
996425578522030264,2024-01-13 23:46:06.689 +0000 UTC,Check everyone post gg the we
994441973811481152,2024-01-14 12:43:17.743 +0000 UTC,Five pinned that that post gg 🔥
963063065921887756,2024-01-14 23:59:23.862 +0000 UTC,Post max for is parking
1018200860251672568,2024-01-16 18:49:11.596 +0000 UTC,Anyone lucky!
961834361939691008,2024-01-16 20:33:45.219 +0000 UTC,You five nice we your up for 🔥
1006156090518925336,2024-01-18 17:23:42.736 +0000 UTC,Boost pinned wow thanks lucky is 🔥
951131174755282700,2024-01-18 23:48:25.192 +0000 UTC,You shiny tonight over nice max thanks wow is in up 🔥
991912301478441808,2024-01-19 18:42:02.319 +0000 UTC,Weather gg at your pinned wow library
989858271640259776,2024-01-20 15:15:04.129 +0000 UTC,The on everyone library coming the one need 👍
989038739397656176,2024-01-20 22:44:25.028 +0000 UTC,Anyone remotes!
996419008974917232,2024-01-21 21:07:26.203 +0000 UTC,Max the code five tonight the for
961820824181195348,2024-01-22 09:31:38.316 +0000 UTC,Code heading heading library your at starting five
951427016626112163,2024-01-24 20:41:13.007 +0000 UTC,The remotes raid your over your turnout is anyone 🔥
1000821470951195808,2024-01-25 14:44:47.997 +0000 UTC,You the one lobby 👍
975086460418533532,2024-01-25 17:30:36.836 +0000 UTC,Anyone battle fled shiny code behind hour lobby are 🔥
997484519900754096,2024-01-26 11:41:31.512 +0000 UTC,Tonight nice code the trades five after partner 🔥
1012136656257789584,2024-01-26 16:01:28.584 +0000 UTC,Starting spot great the gym a
1032293657541740688,2024-01-27 20:35:13.077 +0000 UTC,Check pinned great hour heading nice turnout.
1022826366829685872,2024-01-27 20:58:28.752 +0000 UTC,Are fled pinned 🔥
981773119189310820,2024-01-28 10:04:56.057 +0000 UTC,Raid the gym gym great the tonight is post you now
978457432838622480,2024-01-28 13:24:06.843 +0000 UTC,Over parking pinned at one parking thanks are code 🔥
1035151112768799072,2024-01-30 20:27:52.752 +0000 UTC,You for gym.
1005103372912853960,2024-01-30 20:53:36.546 +0000 UTC,Lucky in is battle trades catch for parking who that we turnout 👍
1035389387183822688,2024-01-30 21:35:56.501 +0000 UTC,Trades in library check nice bring one lobby remotes!
969115443406626584,2024-01-30 22:10:47.628 +0000 UTC,Lucky is five there 🔥
