Date and time of logging (UTC)	Steps walked	Distance travelled (meters)	Calories burned	Exercise duration (minutes)	Wheelchair distance (meters)
2026-05-19T18:00:00Z	72	44	1	0	0
2026-05-19T19:00:00Z	65	52	4	0	0
2026-05-19T20:00:00Z	691	1605	39	0	0
2026-05-19T21:00:00Z	25	17	1	0	0
2026-05-19T23:00:00Z	481	329	24	0	0
2026-05-20T00:00:00Z	36	28	5	0	0
2026-05-20T01:00:00Z	45	32	0	0	0
2026-05-20T02:00:00Z	109	75	5	0	0
2026-05-20T03:00:00Z	78	52	3	0	0
2026-05-20T04:00:00Z	123	80	5	0	0
2026-05-20T13:00:00Z	69	50	2	0	0
2026-05-20T14:00:00Z	264	402	9	0	0
2026-05-20T15:00:00Z	337	837	21	0	0
2026-05-20T16:00:00Z	78	89	2	0	0
2026-05-20T17:00:00Z	929	673	57	0	0
2026-05-20T18:00:00Z	116	85	6	0	0
2026-05-20T20:00:00Z	278	198	13	0	0
2026-05-20T21:00:00Z	129	89	5	0	0
2026-05-20T22:00:00Z	404	312	26	0	0
2026-05-20T23:00:00Z	143	101	6	0	0
2026-05-21T00:00:00Z	470	433	24	0	0
2026-05-21T01:00:00Z	144	1641	4	0	0
2026-05-21T02:00:00Z	115	86	3	0	0
2026-05-21T03:00:00Z	69	50	1	0	0
2026-05-21T04:00:00Z	215	156	8	0	0
2026-05-21T05:00:00Z	117	88	4	0	0
2026-05-21T06:00:00Z	136	104	3	0	0
2026-05-21T07:00:00Z	44	32	4	0	0
2026-05-21T08:00:00Z	59	40	0	0	0
2026-05-21T13:00:00Z	137	99	4	0	0
2026-05-21T14:00:00Z	143	95	4	0	0
2026-05-21T15:00:00Z	347	343	29	0	0
2026-05-21T16:00:00Z	241	158	11	0	0
2026-05-21T17:00:00Z	113	74	8	0	0
2026-05-21T19:00:00Z	830	617	49	0	0
2026-05-21T20:00:00Z	1064	740	81	0	0
2026-05-21T21:00:00Z	0	0	0	0	0
2026-05-21T22:00:00Z	73	53	2	0	0
2026-05-21T23:00:00Z	123	81	6	0	0
2026-05-22T00:00:00Z	187	127	13	0	0
2026-05-22T01:00:00Z	359	265	10	0	0
2026-05-22T02:00:00Z	201	531	8	0	0
2026-05-22T05:00:00Z	61	47	1	0	0
2026-05-22T07:00:00Z	124	92	5	0	0
2026-05-22T14:00:00Z	94	61	4	0	0
2026-05-22T15:00:00Z	154	219	9	0	0
2026-05-22T16:00:00Z	338	925	16	0	0
2026-05-22T19:00:00Z	451	384	16	0	0
2026-05-22T20:00:00Z	274	194	26	0	0
2026-05-22T22:00:00Z	137	105	5	0	0
2026-05-22T23:00:00Z	121	84	2	0	0
2026-05-23T00:00:00Z	20	10	1	0	0
2026-05-23T01:00:00Z	15	8	0	0	0
2026-05-23T02:00:00Z	169	112	2	0	0
2026-05-23T03:00:00Z	0	0	1	0	0
2026-05-23T04:00:00Z	41	30	5	0	0
2026-05-23T06:00:00Z	66	50	2	0	0
2026-05-23T07:00:00Z	43	32	1	0	0
2026-05-23T15:00:00Z	112	88	5	0	0
2026-05-23T16:00:00Z	657	506	20	0	0
2026-05-23T17:00:00Z	550	378	22	0	0
2026-05-23T18:00:00Z	30	879	5	0	0
2026-05-23T19:00:00Z	117	236	4	0	0
2026-05-23T20:00:00Z	73	75	2	0	0
2026-05-23T21:00:00Z	1407	1357	51	0	0
2026-05-23T22:00:00Z	70	257	2	0	0
2026-05-24T00:00:00Z	328	232	7	0	0
2026-05-24T01:00:00Z	942	754	33	0	0
2026-05-24T02:00:00Z	784	599	27	0	0
2026-05-24T03:00:00Z	196	145	5	0	0
2026-05-24T04:00:00Z	303	202	5	0	0
2026-05-24T05:00:00Z	135	101	3	0	0
2026-05-24T06:00:00Z	22	14	0	0	0
2026-05-24T08:00:00Z	17	13	2	0	0
2026-05-24T15:00:00Z	35	29	0	0	0
2026-05-24T16:00:00Z	233	168	4	0	0
2026-05-24T17:00:00Z	114	173	4	0	0
2026-05-24T19:00:00Z	147	104	5	0	0
2026-05-24T20:00:00Z	12	9	0	0	0
2026-05-24T23:00:00Z	83	62	1	0	0
2026-05-25T00:00:00Z	189	127	6	0	0
2026-05-25T01:00:00Z	219	158	7	0	0
2026-05-25T02:00:00Z	320	230	7	0	0
2026-05-25T03:00:00Z	130	93	3	0	0
2026-05-25T04:00:00Z	60	46	1	0	0
2026-05-25T06:00:00Z	38	29	0	0	0
2026-05-25T07:00:00Z	10	7	0	0	0
2026-05-25T11:00:00Z	38	27	0	0	0
2026-05-25T12:00:00Z	15	11	0	0	0
2026-05-25T15:00:00Z	500	482	19	0	0
2026-05-25T16:00:00Z	758	615	27	0	0
2026-05-25T17:00:00Z	145	135	3	0	0
2026-05-25T18:00:00Z	76	57	1	0	0
2026-05-25T22:00:00Z	153	97	4	0	0
2026-05-25T23:00:00Z	153	155	14	0	0
2026-05-26T00:00:00Z	590	557	49	0	0
2026-05-26T01:00:00Z	84	62	5	0	0
2026-05-26T02:00:00Z	91	65	2	0	0
2026-05-26T03:00:00Z	112	303	4	0	0
2026-05-26T04:00:00Z	51	37	1	0	0
2026-05-26T05:00:00Z	65	47	1	0	0
2026-05-26T06:00:00Z	21	14	0	0	0
2026-05-26T08:00:00Z	106	78	3	0	0
2026-05-26T14:00:00Z	165	114	2	0	0
2026-05-26T15:00:00Z	446	1049	26	0	0
2026-05-26T16:00:00Z	17	14	0	0	0
2026-05-26T17:00:00Z	49	33	5	0	0
2026-05-26T18:00:00Z	90	63	2	0	0
2026-05-26T19:00:00Z	52	35	1	0	0
2026-05-26T20:00:00Z	815	636	75	0	0
2026-05-26T21:00:00Z	280	422	21	0	0
2026-05-26T22:00:00Z	0	0	0	0	0
2026-05-26T23:00:00Z	0	0	0	0	0
2026-05-27T00:00:00Z	134	98	3	0	0
2026-05-27T01:00:00Z	64	47	1	0	0
2026-05-27T02:00:00Z	82	58	3	0	0
2026-05-27T03:00:00Z	31	24	0	0	0
2026-05-27T04:00:00Z	24	18	0	0	0
2026-05-27T07:00:00Z	108	80	3	0	0
2026-05-27T14:00:00Z	325	218	9	0	0
2026-05-27T15:00:00Z	424	690	29	0	0
2026-05-27T16:00:00Z	252	154	15	0	0
2026-05-27T17:00:00Z	97	72	5	0	0
2026-05-27T19:00:00Z	402	574	25	0	0
2026-05-27T20:00:00Z	381	330	12	0	0
2026-05-27T21:00:00Z	364	249	16	0	0
2026-05-27T22:00:00Z	60	39	3	0	0
2026-05-27T23:00:00Z	41	27	2	0	0
2026-05-28T00:00:00Z	198	122	6	0	0
2026-05-28T01:00:00Z	148	174	5	0	0
2026-05-28T02:00:00Z	74	53	4	0	0
2026-05-28T03:00:00Z	222	160	11	0	0
