Friend's codename	Date of friendship start	Date of first Niantic friendship start	Friendship initiated by	Friendship Source	Originating Game (If source is Friend Graph)	Nickname	Games they are Friends in
LuckyTrainer473	2021-06-23T20:09:25.206Z	2021-06-23T20:09:25.206Z	Friend	FRIEND_INVITE	pgo		niasocial, pgo
BraveMaverick101	2021-07-05T05:50:03.694Z	2021-07-05T05:50:03.694Z	Friend	FRIEND_INVITE	pgo		pgo
ThunderSage466	2021-07-05T14:00:05.515Z	2021-07-05T14:00:05.515Z	Friend	FRIEND_INVITE	pgo		niasocial, pgo
WildComet287	2022-03-28T10:34:32.710Z	2022-03-28T10:34:32.718Z	You	FRIEND_INVITE	pgo		niasocial, pgo
ThunderPioneer812	2022-03-28T20:35:27.373Z	2022-03-28T20:35:27.374Z	Friend	FRIEND_INVITE	pgo		niasocial, pgo
EmberRaptor892	2022-03-29T14:36:03.235Z	2022-03-29T14:36:03.237Z	Friend	FRIEND_INVITE	pgo		niasocial, pgo
SwiftWanderer138	2022-04-11T05:30:11.114Z	2022-04-11T05:30:11.121Z	You	FRIEND_INVITE	pgo		niasocial, pgo
ThunderRaptor336	2022-09-03T04:01:58.137Z	2022-09-03T04:01:58.138Z	Friend	FRIEND_INVITE	pgo		niasocial, pgo
LuckySage335	2022-09-03T04:03:33.243Z	2022-09-03T04:03:33.252Z	You	FRIEND_INVITE	pgo		niasocial, pgo
MightySage810	2022-09-14T23:02:27.127Z	2022-09-14T23:02:27.128Z	Friend	FRIEND_INVITE	pgo		niasocial, pgo
SwiftPioneer954	2024-02-22T02:48:28.943Z	2024-02-22T02:48:28.916Z	Friend	FRIEND_INVITE	pgo		niasocial, pgo
SolarFalcon308	2024-02-22T20:42:54.340Z	2024-02-22T20:42:54.295Z	You	FRIEND_GRAPH	niasocial		niasocial, pgo
TurboCharizard211	2024-02-23T22:03:43.119Z	2024-02-23T22:03:43.093Z	You	FRIEND_INVITE	pgo		niasocial, pgo
SolarTracker744	2024-02-24T20:27:07.607Z	2024-02-24T20:27:07.588Z	You	FRIEND_GRAPH	niasocial		niasocial, pgo
LuckyRanger316	2024-02-24T20:47:42.483Z	2024-02-24T20:47:42.463Z	You	FRIEND_INVITE	pgo		niasocial, pgo
LunarNomad369	2024-02-24T21:12:45.819Z	2024-02-24T21:12:45.797Z	Friend	FRIEND_INVITE	pgo		niasocial, pgo
RadiantStriker478	2024-02-24T21:12:46.769Z	2024-02-24T21:12:46.754Z	You	FRIEND_INVITE	pgo		niasocial, pgo
ShadowRanger773	2024-02-24T21:14:35.711Z	2024-02-24T21:14:35.691Z	You	FRIEND_INVITE	pgo		niasocial, pgo
FrostNomad352	2024-02-24T21:34:10.480Z	2024-02-24T21:34:10.454Z	You	FRIEND_INVITE	pgo		niasocial, pgo
RadiantTracker291	2024-02-24T22:05:43.539Z	2024-02-24T22:05:43.512Z	You	FRIEND_INVITE	pgo		niasocial, pgo
LuckyHunter148	2024-02-25T00:53:14.964Z	2024-02-25T00:53:14.947Z	You	FRIEND_INVITE	pgo		niasocial, pgo
LunarPioneer206	2024-02-25T01:04:46.092Z	2024-02-25T01:04:46.076Z	You	FRIEND_INVITE	pgo		niasocial, pgo
IronCharizard784	2024-02-26T00:17:50.154Z	2024-02-26T00:17:50.136Z	You	FRIEND_INVITE	pgo		niasocial, pgo
CrystalPioneer218	2024-02-26T00:17:52.228Z	2024-02-26T00:17:52.205Z	Friend	FRIEND_INVITE	pgo		niasocial, pgo
EmberDragon945	2024-02-26T00:21:01.095Z	2024-02-26T00:21:01.074Z	Friend	FRIEND_INVITE	pgo		niasocial, pgo
SwiftComet828	2024-02-26T01:09:52.734Z	2024-02-26T01:09:52.718Z	You	FRIEND_INVITE	pgo		niasocial, pgo
