Date and Time	Latitude of location reported by game	Longitude of location reported by game
2026-06-27T21:11:01.213Z	33.928529	-118.101494
2026-06-27T21:15:56.130Z	33.927062	-118.101179
2026-06-27T21:25:19.352Z	33.929411	-118.099536
2026-06-27T21:34:18.932Z	33.928437	-118.103284
2026-06-27T21:42:56.995Z	33.927153	-118.104973
2026-06-27T21:45:39.555Z	33.927214	-118.109259
2026-06-27T21:53:20.855Z	33.928873	-118.105987
2026-06-27T22:13:07.491Z	33.930377	-118.102132
2026-06-27T22:20:54.302Z	33.928345	-118.099608
2026-06-27T22:38:54.336Z	33.925411	-118.098810
2026-06-27T22:46:53.761Z	33.925695	-118.096868
2026-06-27T23:23:24.022Z	33.924270	-118.098575
2026-06-29T15:50:46.642Z	34.090533	-118.204595
2026-06-30T15:36:46.977Z	34.146653	-118.380212
2026-07-02T15:04:11.906Z	47.553810	-122.421877
2026-07-02T15:30:14.156Z	47.554921	-122.424980
2026-07-02T15:30:32.166Z	47.555671	-122.424721
2026-07-02T15:30:43.177Z	47.557359	-122.426199
2026-07-02T15:30:56.215Z	47.558570	-122.421351
2026-07-02T15:31:10.263Z	47.557313	-122.424941
2026-07-03T00:11:05.174Z	34.031841	-118.118818
2026-07-03T00:11:19.187Z	34.030565	-118.118770
2026-07-03T00:11:31.148Z	34.027459	-118.120699
2026-07-03T00:11:54.127Z	34.026918	-118.119449
2026-07-03T00:15:48.115Z	34.030317	-118.118876
2026-07-03T00:18:19.202Z	34.027449	-118.118407
2026-07-03T00:19:14.129Z	34.028410	-118.118405
2026-07-03T00:21:15.236Z	34.030285	-118.117906
2026-07-03T00:21:40.147Z	34.029868	-118.114319
2026-07-03T00:22:38.214Z	34.029446	-118.110901
2026-07-03T00:27:03.290Z	34.027661	-118.110670
2026-07-03T00:32:08.197Z	34.030776	-118.112672
2026-07-03T00:39:43.230Z	34.032291	-118.113831
2026-07-03T00:43:08.243Z	34.032497	-118.110122
2026-07-03T00:46:48.208Z	34.030313	-118.110448
2026-07-03T02:58:25.752Z	34.156283	-118.120632
2026-07-03T02:58:37.568Z	34.154556	-118.117778
2026-07-03T03:04:28.517Z	34.155262	-118.113639
2026-07-03T03:09:35.809Z	34.157422	-118.110491
2026-07-03T03:14:35.284Z	34.158017	-118.113511
2026-07-03T03:14:47.034Z	34.159427	-118.112471
2026-07-03T03:20:15.312Z	34.156569	-118.114286
2026-07-03T03:25:39.153Z	34.154755	-118.113554
2026-07-03T03:31:02.234Z	34.156359	-118.115970
2026-07-03T03:31:13.759Z	34.156937	-118.115518
2026-07-03T03:36:42.040Z	34.155568	-118.117242
2026-07-03T03:42:07.274Z	34.157681	-118.114806
2026-07-03T03:42:19.740Z	34.159677	-118.115655
2026-07-03T03:47:44.298Z	34.156933	-118.116948
2026-07-03T03:52:43.776Z	34.155598	-118.119977
2026-07-03T04:01:39.420Z	34.154216	-118.120579
2026-07-03T04:02:31.344Z	34.152626	-118.123320
2026-07-03T04:04:17.324Z	34.154597	-118.125229
2026-07-04T03:26:34.162Z	33.934207	-118.386245
2026-07-04T03:27:16.137Z	33.933612	-118.384912
2026-07-04T03:35:19.179Z	33.935854	-118.385539
2026-07-04T03:35:30.197Z	33.933485	-118.382485
2026-07-04T03:37:20.273Z	33.933123	-118.386427
2026-07-04T03:57:24.086Z	33.934236	-118.384450
2026-07-04T04:00:35.193Z	33.934002	-118.381873
2026-07-04T04:00:53.661Z	33.933834	-118.385444
2026-07-04T04:02:19.236Z	33.934544	-118.389169
2026-07-04T04:03:01.176Z	33.932172	-118.391779
2026-07-04T04:03:33.143Z	33.932755	-118.390675
2026-07-04T04:14:48.226Z	33.935507	-118.388868
2026-07-04T04:15:00.254Z	33.933545	-118.391655
2026-07-04T04:15:20.143Z	33.937015	-118.392186
2026-07-04T04:15:43.174Z	33.938395	-118.391606
2026-07-04T23:20:51.597Z	33.960793	-118.322883
2026-07-04T23:21:45.228Z	33.960232	-118.321945
2026-07-04T23:26:50.183Z	33.960970	-118.318646
2026-07-04T23:28:11.184Z	33.958544	-118.319523
2026-07-04T23:28:26.176Z	33.959105	-118.321933
2026-07-04T23:29:44.617Z	33.958520	-118.322282
2026-07-04T23:29:55.204Z	33.957566	-118.326372
2026-07-04T23:35:12.237Z	33.957556	-118.327674
2026-07-04T23:36:12.206Z	33.958317	-118.330374
2026-07-04T23:37:42.371Z	33.956563	-118.326872
2026-07-04T23:43:57.188Z	33.957599	-118.327392
2026-07-04T23:44:10.226Z	33.956389	-118.329137
2026-07-04T23:45:02.233Z	33.958552	-118.326412
2026-07-05T03:56:30.193Z	33.993374	-118.053088
2026-07-05T04:05:06.219Z	33.990880	-118.050265
2026-07-05T04:05:18.054Z	33.987976	-118.051227
2026-07-05T04:05:52.391Z	33.988537	-118.051531
2026-07-05T04:07:31.749Z	33.989992	-118.052356
2026-07-05T04:07:53.200Z	33.991564	-118.051132
2026-07-05T04:08:31.194Z	33.991844	-118.054875
2026-07-05T04:09:05.921Z	33.989461	-118.057819
2026-07-05T04:09:49.578Z	33.989605	-118.058168
2026-07-05T04:10:11.205Z	33.992604	-118.056133
2026-07-05T04:13:17.156Z	33.995955	-118.054935
2026-07-05T04:13:38.111Z	33.994835	-118.056175
2026-07-05T04:14:25.575Z	33.995351	-118.060332
2026-07-05T04:14:41.190Z	33.992353	-118.062613
2026-07-05T04:19:29.142Z	33.993779	-118.062494
2026-07-06T15:02:03.285Z	34.104715	-118.217042
2026-07-06T15:02:17.432Z	34.105947	-118.215564
2026-07-06T15:02:36.970Z	34.107422	-118.216301
2026-07-06T15:03:22.381Z	34.109489	-118.213672
2026-07-06T15:11:38.219Z	34.112498	-118.215244
2026-07-06T15:26:32.176Z	34.114120	-118.214346
2026-07-06T15:26:55.216Z	34.114328	-118.212930
2026-07-06T15:27:07.221Z	34.117201	-118.214078
2026-07-06T15:27:30.323Z	34.116293	-118.214085
2026-07-06T15:27:42.309Z	34.116194	-118.210096
2026-07-06T15:27:59.102Z	34.115982	-118.209334
2026-07-06T15:28:11.402Z	34.114691	-118.208572
2026-07-06T15:28:28.215Z	34.113882	-118.205099
2026-07-06T15:28:39.814Z	34.114514	-118.206466
2026-07-06T15:28:54.216Z	34.117864	-118.205782
2026-07-06T15:29:20.218Z	34.114573	-118.205458
2026-07-06T15:29:32.198Z	34.114730	-118.204747
2026-07-06T15:29:46.237Z	34.116082	-118.206380
2026-07-06T15:30:06.205Z	34.116157	-118.202977
2026-07-07T16:33:42.175Z	34.156484	-118.237037
2026-07-09T03:16:32.309Z	41.910521	-87.548173
2026-07-09T03:16:51.252Z	41.908328	-87.551910
2026-07-09T03:17:03.310Z	41.908093	-87.554253
2026-07-09T03:17:25.253Z	41.911437	-87.555623
2026-07-09T03:18:15.185Z	41.914252	-87.557586
2026-07-09T03:31:19.254Z	41.914904	-87.557796
2026-07-09T03:33:16.196Z	41.916250	-87.557903
2026-07-09T03:34:14.217Z	41.918727	-87.558900
2026-07-09T03:34:33.191Z	41.917662	-87.557015
2026-07-09T03:35:03.248Z	41.915496	-87.556571
2026-07-09T03:37:36.245Z	41.915940	-87.558848
2026-07-09T03:38:32.369Z	41.914862	-87.560130
2026-07-09T03:40:09.332Z	41.913923	-87.558249
2026-07-09T03:42:49.178Z	41.914641	-87.555580
2026-07-09T03:46:42.180Z	41.915892	-87.557522
2026-07-09T03:53:07.186Z	41.912593	-87.555870
2026-07-09T03:57:04.138Z	41.913853	-87.553301
2026-07-09T03:57:44.140Z	41.913222	-87.557564
2026-07-09T03:59:47.349Z	41.915524	-87.555899
2026-07-09T04:00:50.204Z	41.912628	-87.553830
2026-07-09T04:01:48.283Z	41.912273	-87.553900
2026-07-09T04:02:00.187Z	41.910754	-87.555662
2026-07-09T04:02:55.185Z	41.910634	-87.559911
2026-07-09T04:04:21.218Z	41.911035	-87.558157
2026-07-09T04:04:38.232Z	41.909495	-87.559456
2026-07-09T04:07:31.256Z	41.910136	-87.559984
2026-07-09T14:39:22.403Z	34.148091	-118.364695
2026-07-09T14:40:13.194Z	34.149319	-118.364587
2026-07-09T14:40:29.164Z	34.148222	-118.368124
2026-07-09T14:40:48.203Z	34.148612	-118.366669
2026-07-09T14:53:17.493Z	34.148795	-118.369741
2026-07-09T15:01:55.433Z	34.146828	-118.367023
2026-07-09T15:03:34.150Z	34.147140	-118.367193
2026-07-09T15:04:00.203Z	34.146009	-118.365487
2026-07-09T15:05:39.277Z	34.144395	-118.365637
2026-07-09T15:07:35.625Z	34.144155	-118.361928
2026-07-09T15:07:48.588Z	34.145457	-118.358755
2026-07-09T15:08:20.259Z	34.148923	-118.358421
2026-07-09T15:08:34.027Z	34.147382	-118.359467
2026-07-09T15:09:19.206Z	34.145956	-118.359842
2026-07-09T15:10:02.211Z	34.143589	-118.357535
2026-07-09T15:11:21.373Z	34.143012	-118.358857
2026-07-09T15:11:55.143Z	34.144577	-118.359937
2026-07-09T15:12:07.189Z	34.144632	-118.359806
2026-07-09T15:12:22.175Z	34.142595	-118.361626
2026-07-09T15:12:35.124Z	34.143713	-118.362460
2026-07-09T15:13:37.142Z	34.146000	-118.363057
2026-07-09T15:13:51.180Z	34.147137	-118.364279
2026-07-09T15:14:04.250Z	34.147108	-118.361874
2026-07-09T15:14:20.225Z	34.147092	-118.364413
2026-07-09T15:14:37.232Z	34.146215	-118.366277
2026-07-09T15:15:44.144Z	34.148212	-118.367398
2026-07-09T15:16:01.224Z	34.145494	-118.366242
2026-07-11T00:07:17.356Z	33.895149	-118.346241
2026-07-11T00:07:45.960Z	33.896994	-118.349777
2026-07-11T00:10:39.235Z	33.899133	-118.346410
2026-07-11T00:12:51.382Z	33.898238	-118.346746
2026-07-11T00:14:50.150Z	33.896316	-118.345851
2026-07-11T00:15:28.188Z	33.897909	-118.342560
2026-07-11T00:16:09.179Z	33.899249	-118.346503
2026-07-11T00:16:21.198Z	33.901326	-118.349572
2026-07-11T00:42:47.239Z	33.902552	-118.348220
2026-07-11T00:43:38.163Z	33.904933	-118.351181
2026-07-11T00:45:00.155Z	33.902558	-118.349026
2026-07-11T00:45:12.237Z	33.901787	-118.348460
2026-07-11T00:45:52.206Z	33.903673	-118.351321
2026-07-11T00:53:53.233Z	33.900785	-118.348761
2026-07-11T00:54:13.197Z	33.899370	-118.351198
2026-07-11T00:56:31.164Z	33.902029	-118.352654
2026-07-11T00:57:34.202Z	33.904523	-118.354586
2026-07-11T00:58:23.228Z	33.905095	-118.358056
2026-07-11T00:59:03.205Z	33.905584	-118.358419
2026-07-11T01:02:17.217Z	33.905789	-118.359119
2026-07-11T16:11:29.643Z	34.125059	-118.127871
2026-07-11T16:12:19.686Z	34.127548	-118.129008
2026-07-11T16:17:43.606Z	34.130305	-118.127724
2026-07-11T16:23:31.189Z	34.129289	-118.124669
2026-07-11T16:28:48.166Z	34.130660	-118.127954
2026-07-11T16:32:31.184Z	34.129442	-118.127481
2026-07-11T16:34:14.030Z	34.126731	-118.126755
2026-07-11T16:39:02.580Z	34.127323	-118.126895
2026-07-11T16:42:01.165Z	34.124952	-118.129674
2026-07-11T16:48:26.913Z	34.124446	-118.125921
2026-07-11T16:50:33.387Z	34.126380	-118.125240
2026-07-11T16:50:46.743Z	34.128068	-118.123368
2026-07-11T16:53:48.331Z	34.126921	-118.126945
2026-07-11T16:58:54.397Z	34.129037	-118.127202
2026-07-11T17:08:58.489Z	34.130501	-118.124250
2026-07-11T17:22:30.009Z	34.130219	-118.125421
2026-07-11T17:26:27.900Z	34.128566	-118.127682
2026-07-11T17:30:33.233Z	34.129382	-118.130090
2026-07-11T17:39:04.843Z	34.126850	-118.128761
2026-07-11T17:39:36.118Z	34.128177	-118.129195
2026-07-11T17:48:42.351Z	34.129068	-118.131575
2026-07-11T17:55:33.634Z	34.131577	-118.132990
2026-07-11T17:56:56.855Z	34.134026	-118.133514
2026-07-11T17:59:23.435Z	34.130821	-118.133625
2026-07-11T18:04:40.215Z	34.129904	-118.132149
2026-07-11T18:08:39.039Z	34.127528	-118.133129
2026-07-11T18:10:12.620Z	34.124125	-118.133630
2026-07-11T18:14:17.829Z	34.123359	-118.133401
2026-07-11T18:18:48.416Z	34.122617	-118.130278
2026-07-11T18:19:02.869Z	34.123791	-118.130676
2026-07-11T18:28:01.868Z	34.125076	-118.130835
2026-07-11T18:29:44.712Z	34.124450	-118.127779
2026-07-11T18:32:52.346Z	34.124057	-118.129719
2026-07-11T18:38:18.083Z	34.122802	-118.129185
2026-07-11T18:39:50.883Z	34.120642	-118.126490
2026-07-11T18:47:49.257Z	34.120981	-118.122960
2026-07-11T18:49:38.623Z	34.121680	-118.123503
2026-07-11T18:54:58.917Z	34.124164	-118.123125
2026-07-11T18:55:34.738Z	34.126913	-118.124187
2026-07-11T18:58:07.262Z	34.127683	-118.119977
2026-07-11T19:07:41.297Z	34.130115	-118.118697
2026-07-11T19:11:30.716Z	34.131415	-118.119431
2026-07-11T19:14:34.206Z	34.130314	-118.116095
2026-07-11T19:23:18.924Z	34.132448	-118.116432
2026-07-11T19:28:28.267Z	34.130956	-118.116820
2026-07-11T19:33:39.844Z	34.133035	-118.113903
2026-07-11T19:37:29.958Z	34.132004	-118.111095
2026-07-11T19:37:53.292Z	34.132394	-118.114182
2026-07-11T19:42:18.144Z	34.133589	-118.116583
2026-07-11T19:46:28.830Z	34.131789	-118.112865
