Event_time,Device_model,Platform,City,State,Country_code,Install_time,App_version,OS_version,Device_category
2026-08-24 05:39:22 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.423.1,26.6,mobile_phone
2025-07-27 03:22:20 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.371.0,18.5,mobile_phone
2025-07-27 06:30:00 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.371.0,18.5,mobile_phone
2025-07-27 22:06:57 UTC,iPhone15ProMax,ios,Pallet Town,Kanto,US,2024-08-05 16:25:04 UTC,0.371.0,18.5,mobile_phone
2025-08-09 18:20:27 UTC,iPhone15ProMax,ios,Cerulean City,Kanto,US,2024-08-05 16:25:04 UTC,0.373.1,18.6,mobile_phone
2025-08-09 01:40:13 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.373.1,18.6,mobile_phone
2025-08-09 16:50:19 UTC,iPhone15ProMax,ios,Celadon City,Kanto,US,2024-08-05 16:25:04 UTC,0.373.1,18.6,mobile_phone
2023-02-06 03:04:44 UTC,SM-G986U,android,Olivine City,Johto,US,2023-01-09 02:58:29 UTC,0.261.1,13,phone
2024-06-19 19:13:53 UTC,iPhone15ProMax,ios,Viridian City,Kanto,US,2023-12-26 17:08:09 UTC,0.317.0,17.5.1,unknown_device_category
2024-06-19 21:57:51 UTC,iPhone15ProMax,ios,Viridian City,Kanto,US,2023-12-26 17:08:09 UTC,0.317.0,17.5.1,unknown_device_category
2024-06-19 15:15:10 UTC,iPhone15ProMax,ios,Viridian City,Kanto,US,2023-12-26 17:08:09 UTC,0.317.0,17.5.1,unknown_device_category
2024-06-19 06:45:07 UTC,iPhone15ProMax,ios,Viridian City,Kanto,US,2023-12-26 17:08:09 UTC,0.317.0,17.5.1,unknown_device_category
2022-06-21 12:57:27 UTC,SM-G986U,android,Cerulean City,Kanto,US,2022-06-01 10:44:54 UTC,0.239.2,12,phone
2022-06-21 20:50:52 UTC,SM-G986U,android,Cerulean City,Kanto,US,2022-06-01 10:44:54 UTC,0.239.2,12,phone
2026-07-14 19:54:50 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.417.5,26.5.2,mobile_phone
2026-07-14 19:06:38 UTC,iPhone15ProMax,ios,Viridian City,Kanto,US,2024-08-05 16:25:04 UTC,0.417.5,26.5.2,mobile_phone
2026-07-14 21:53:32 UTC,iPhone15ProMax,ios,New Bark Town,Johto,US,2024-08-05 16:25:04 UTC,0.417.5,26.5.2,mobile_phone
2026-02-26 01:05:27 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.399.1,26.3,mobile_phone
2026-02-26 02:31:55 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.399.1,26.3,mobile_phone
2024-06-14 18:31:03 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2023-12-26 17:08:09 UTC,0.317.0,17.5.1,phone
2024-06-14 18:50:40 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2023-12-26 17:08:09 UTC,0.317.0,17.5.1,phone
2026-05-07 01:45:53 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.409.0,26.3.1,mobile_phone
2025-12-06 21:53:09 UTC,iPhone15ProMax,ios,Pallet Town,Kanto,US,2024-08-05 16:25:04 UTC,0.389.2,26.1,mobile_phone
2025-12-06 17:29:53 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.389.2,26.1,mobile_phone
2025-12-06 17:04:32 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.389.2,26.1,mobile_phone
2023-02-24 15:40:45 UTC,Pixel 4a,android,Olivine City,Johto,US,2023-02-23 19:14:35 UTC,0.261.3,13,phone
2024-02-13 18:22:27 UTC,iPhone15ProMax,ios,Cerulean City,Kanto,US,2023-12-26 17:08:09 UTC,0.299.1,17.3.1,phone
2026-05-15 23:26:13 UTC,iPhone15ProMax,ios,Goldenrod City,Johto,US,2024-08-05 16:25:04 UTC,0.411.0,26.4.2,mobile_phone
2024-02-20 09:00:10 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2023-12-26 17:08:09 UTC,0.299.1,17.3.1,phone
2024-02-20 06:39:50 UTC,iPhone15ProMax,ios,Pallet Town,Kanto,US,2023-12-26 17:08:09 UTC,0.299.1,17.3.1,phone
2024-02-20 16:40:54 UTC,iPhone15ProMax,ios,Viridian City,Kanto,US,2023-12-26 17:08:09 UTC,0.299.1,17.3.1,phone
2024-02-20 17:55:47 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2023-12-26 17:08:09 UTC,0.299.1,17.3.1,phone
2024-02-14 03:40:14 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2023-12-26 17:08:09 UTC,0.299.1,17.3.1,phone
2025-03-27 23:33:39 UTC,iPhone15ProMax,ios,Cerulean City,Kanto,US,2024-08-05 16:25:04 UTC,0.353.2,18.3.2,mobile_phone
2025-03-27 14:40:47 UTC,iPhone15ProMax,ios,Cerulean City,Kanto,US,2024-08-05 16:25:04 UTC,0.353.2,18.3.2,mobile_phone
2025-03-27 07:47:46 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.353.1,18.3.2,mobile_phone
2024-12-26 02:09:19 UTC,iPhone15ProMax,ios,New Bark Town,Johto,US,2024-08-05 16:25:04 UTC,0.343.0,18.2,mobile_phone
2022-09-10 16:41:54 UTC,Pixel 4a,android,Olivine City,Johto,US,2021-07-01 16:46:46 UTC,0.247.1,12,phone
2024-12-10 14:31:12 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.341.2,18.1.1,mobile_phone
2024-12-10 18:06:10 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.341.2,18.1.1,mobile_phone
2022-08-17 20:13:04 UTC,Pixel 4a,android,Olivine City,Johto,US,2021-07-01 16:46:46 UTC,0.245.2,12,phone
2025-05-04 04:42:25 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.359.0,18.4.1,mobile_phone
2025-05-04 04:19:15 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.359.0,18.4.1,mobile_phone
2025-09-01 00:57:32 UTC,iPhone15ProMax,ios,Goldenrod City,Johto,US,2024-08-05 16:25:04 UTC,0.375.2,18.6.2,mobile_phone
2025-10-23 01:48:27 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.383.2,26.0.1,mobile_phone
2025-10-23 01:02:15 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.383.2,26.0.1,mobile_phone
2022-03-04 16:39:27 UTC,SM-G986U,android,Pallet Town,Kanto,US,2022-02-27 06:08:31 UTC,0.229.2,12,phone
2022-03-04 23:57:29 UTC,SM-G986U,android,Olivine City,Johto,US,2022-02-27 06:08:31 UTC,0.231.0,12,phone
2022-03-04 12:46:05 UTC,SM-G986U,android,Pallet Town,Kanto,US,2022-02-27 06:08:31 UTC,0.229.2,12,phone
2022-03-04 20:33:50 UTC,SM-G986U,android,Pallet Town,Kanto,US,2022-02-27 06:08:31 UTC,0.231.0,12,phone
2024-12-09 17:47:26 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.341.2,18.1.1,mobile_phone
2024-12-09 22:36:48 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.341.2,18.1.1,mobile_phone
2024-12-09 00:00:40 UTC,iPhone15ProMax,ios,Viridian City,Kanto,US,2024-08-05 16:25:04 UTC,0.341.2,18.1.1,mobile_phone
2026-02-27 14:35:00 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.399.1,26.3,mobile_phone
2026-02-27 15:44:30 UTC,iPhone15ProMax,ios,Cerulean City,Kanto,US,2024-08-05 16:25:04 UTC,0.399.1,26.3,mobile_phone
2026-02-27 23:05:59 UTC,iPhone15ProMax,ios,Cerulean City,Kanto,US,2024-08-05 16:25:04 UTC,0.399.1,26.3,mobile_phone
2024-03-10 22:57:23 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2023-12-26 17:08:09 UTC,0.303.0,17.3.1,phone
2024-03-10 03:30:21 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2023-12-26 17:08:09 UTC,0.303.0,17.3.1,phone
2024-03-10 01:24:48 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2023-12-26 17:08:09 UTC,0.303.0,17.3.1,phone
2024-03-10 21:14:46 UTC,iPhone15ProMax,ios,Goldenrod City,Johto,US,2023-12-26 17:08:09 UTC,0.303.0,17.3.1,phone
2025-07-19 23:59:35 UTC,iPhone15ProMax,ios,Goldenrod City,Johto,US,2024-08-05 16:25:04 UTC,0.369.1,18.5,mobile_phone
2025-07-19 19:55:45 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.369.1,18.5,mobile_phone
2024-07-05 03:49:59 UTC,iPhone15ProMax,ios,New Bark Town,Johto,US,2023-12-26 17:08:09 UTC,0.319.0,17.5.1,mobile_phone
2024-07-05 22:57:44 UTC,iPhone15ProMax,ios,Viridian City,Kanto,US,2023-12-26 17:08:09 UTC,0.319.0,17.5.1,mobile_phone
2024-07-05 12:52:22 UTC,iPhone15ProMax,ios,Viridian City,Kanto,US,2023-12-26 17:08:09 UTC,0.319.0,17.5.1,mobile_phone
2026-06-07 20:16:08 UTC,iPhone15ProMax,ios,Goldenrod City,Johto,US,2024-08-05 16:25:04 UTC,0.413.2,26.5,mobile_phone
2024-10-07 01:39:42 UTC,iPhone15ProMax,ios,Goldenrod City,Johto,US,2024-08-05 16:25:04 UTC,0.333.0,18.0,mobile_phone
2024-10-07 20:40:31 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.333.0,18.0,mobile_phone
2024-10-07 17:57:41 UTC,iPhone15ProMax,ios,Cerulean City,Kanto,US,2024-08-05 16:25:04 UTC,0.333.0,18.0,mobile_phone
2025-12-29 22:20:59 UTC,iPhone15ProMax,ios,Cerulean City,Kanto,US,2024-08-05 16:25:04 UTC,0.391.1,26.1,mobile_phone
2025-12-29 01:57:32 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.391.1,26.1,mobile_phone
2025-12-29 16:02:49 UTC,iPhone15ProMax,ios,Cerulean City,Kanto,US,2024-08-05 16:25:04 UTC,0.391.1,26.1,mobile_phone
2025-12-29 06:15:12 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.391.1,26.1,mobile_phone
2025-04-02 02:28:46 UTC,iPhone15ProMax,ios,Olivine City,Johto,US,2024-08-05 16:25:04 UTC,0.353.2,18.3.2,mobile_phone
2025-04-02 00:30:07 UTC,iPhone15ProMax,ios,Celadon City,Kanto,US,2024-08-05 16:25:04 UTC,0.353.2,18.3.2,mobile_phone
