Date and time of logging (UTC)	Steps walked	Distance travelled (meters)	Calories burned	Exercise duration (minutes)	Wheelchair distance (meters)
2026-03-01T12:00:00Z	3417	2460	137	21	0
2026-03-02T12:00:00Z	3834	2760	153	22	0
2026-03-03T12:00:00Z	4251	3061	170	23	0
2026-03-04T12:00:00Z	4668	3361	187	24	0
2026-03-05T12:00:00Z	5085	3661	203	25	0
2026-03-06T12:00:00Z	5502	3961	220	26	0
2026-03-07T12:00:00Z	5919	4262	237	27	0
2026-03-08T12:00:00Z	6336	4562	253	28	0
2026-03-09T12:00:00Z	6753	4862	270	29	0
2026-03-10T12:00:00Z	7170	5162	287	30	0
2026-03-11T12:00:00Z	7587	5463	303	31	0
2026-03-12T12:00:00Z	8004	5763	320	32	0
2026-03-13T12:00:00Z	8421	6063	337	33	0
2026-03-14T12:00:00Z	8838	6363	354	34	0
